Camp Name,Camp Dates,Registration Deadline,Open To,Location,Current Attendee Slots,Total Attendee Slots,Current Camp Comm Slots,Total Camp Comm Slots,Description
F,20230102-20230103,20230102,NTU,NTU,-1,50,0,10,desc

List of Camp Committee Members
CHERN


Camp Name,Camp Dates,Registration Deadline,Open To,Location,Current Attendee Slots,Total Attendee Slots,Current Camp Comm Slots,Total Camp Comm Slots,Description
E,20230103-20230105,20230102,NTU,NTU,0,50,0,10,desc

List of Camp Committee Members


Camp Name,Camp Dates,Registration Deadline,Open To,Location,Current Attendee Slots,Total Attendee Slots,Current Camp Comm Slots,Total Camp Comm Slots,Description
D,20230102-20230103,20230102,NTU,NTU,0,50,0,10,desc

List of Camp Committee Members


Camp Name,Camp Dates,Registration Deadline,Open To,Location,Current Attendee Slots,Total Attendee Slots,Current Camp Comm Slots,Total Camp Comm Slots,Description
C,20230103-20230105,20230102,NTU,NTU,0,50,0,10,desc

List of Camp Committee Members


Camp Name,Camp Dates,Registration Deadline,Open To,Location,Current Attendee Slots,Total Attendee Slots,Current Camp Comm Slots,Total Camp Comm Slots,Description
B,20230102-20230103,20230102,NTU,NTU,0,50,0,10,desc

List of Camp Committee Members


Camp Name,Camp Dates,Registration Deadline,Open To,Location,Current Attendee Slots,Total Attendee Slots,Current Camp Comm Slots,Total Camp Comm Slots,Description
A,20230103-20230105,20230102,NTU,NTU,0,50,0,10,desc

List of Camp Committee Members


