Camp Name,Camp Dates,Registration Deadline,Open To,Location,Current Attendee Slots,Total Attendee Slots,Current Camp Comm Slots,Total Camp Comm Slots,Description
c5,20230806-20230923,20220102,SCSE,Baiyun Airport,0,10,0,10,First In First Out. 

List of Camp Committee Members,Points
Camp Name,Camp Dates,Registration Deadline,Open To,Location,Current Attendee Slots,Total Attendee Slots,Current Camp Comm Slots,Total Camp Comm Slots,Description
c2,20240430-20240830,20230430,NTU,Guangzhou,1,5,0,6,ewrthyj

List of Camp Committee Members,Points
Camp Name,Camp Dates,Registration Deadline,Open To,Location,Current Attendee Slots,Total Attendee Slots,Current Camp Comm Slots,Total Camp Comm Slots,Description
C1,20250101-20250203,20250101,NTU,dfgh,0,2,1,3,dfgb

List of Camp Committee Members,Points
CHERN,0
